"agency","siteID","datetime","gheight.ft"
"USGS",2256500,"2017-09-08 00:00",5.68
"USGS",2256500,"2017-09-08 00:15",5.68
"USGS",2256500,"2017-09-08 00:30",5.68
"USGS",2256500,"2017-09-08 00:45",5.68
"USGS",2256500,"2017-09-08 01:00",5.69
"USGS",2256500,"2017-09-08 01:15",5.69
"USGS",2256500,"2017-09-08 01:30",5.69
"USGS",2256500,"2017-09-08 01:45",5.69
"USGS",2256500,"2017-09-08 02:00",5.7
"USGS",2256500,"2017-09-08 02:15",5.7
"USGS",2256500,"2017-09-08 02:30",5.7
"USGS",2256500,"2017-09-08 02:45",5.7
"USGS",2256500,"2017-09-08 03:00",5.7
"USGS",2256500,"2017-09-08 03:15",5.7
"USGS",2256500,"2017-09-08 03:30",5.7
"USGS",2256500,"2017-09-08 03:45",5.71
"USGS",2256500,"2017-09-08 04:00",5.72
"USGS",2256500,"2017-09-08 04:15",5.71
"USGS",2256500,"2017-09-08 04:30",5.72
"USGS",2256500,"2017-09-08 04:45",5.72
"USGS",2256500,"2017-09-08 05:00",5.72
"USGS",2256500,"2017-09-08 05:15",5.72
"USGS",2256500,"2017-09-08 05:30",5.72
"USGS",2256500,"2017-09-08 05:45",5.73
"USGS",2256500,"2017-09-08 06:00",5.73
"USGS",2256500,"2017-09-08 06:15",5.73
"USGS",2256500,"2017-09-08 06:30",5.73
"USGS",2256500,"2017-09-08 06:45",5.74
"USGS",2256500,"2017-09-08 07:00",5.74
"USGS",2256500,"2017-09-08 07:15",5.74
"USGS",2256500,"2017-09-08 07:30",5.74
"USGS",2256500,"2017-09-08 07:45",5.74
"USGS",2256500,"2017-09-08 08:00",5.74
"USGS",2256500,"2017-09-08 08:15",5.75
"USGS",2256500,"2017-09-08 08:30",5.75
"USGS",2256500,"2017-09-08 08:45",5.75
"USGS",2256500,"2017-09-08 09:00",5.75
"USGS",2256500,"2017-09-08 09:15",5.76
"USGS",2256500,"2017-09-08 09:30",5.75
"USGS",2256500,"2017-09-08 09:45",5.75
"USGS",2256500,"2017-09-08 10:00",5.76
"USGS",2256500,"2017-09-08 10:15",5.77
"USGS",2256500,"2017-09-08 10:30",5.76
"USGS",2256500,"2017-09-08 10:45",5.76
"USGS",2256500,"2017-09-08 11:00",5.76
"USGS",2256500,"2017-09-08 11:15",5.77
"USGS",2256500,"2017-09-08 11:30",5.77
"USGS",2256500,"2017-09-08 11:45",5.77
"USGS",2256500,"2017-09-08 12:00",5.77
"USGS",2256500,"2017-09-08 12:15",5.77
"USGS",2256500,"2017-09-08 12:30",5.78
"USGS",2256500,"2017-09-08 12:45",5.77
"USGS",2256500,"2017-09-08 13:00",5.77
"USGS",2256500,"2017-09-08 13:15",5.78
"USGS",2256500,"2017-09-08 13:30",5.78
"USGS",2256500,"2017-09-08 13:45",5.79
"USGS",2256500,"2017-09-08 14:00",5.79
"USGS",2256500,"2017-09-08 14:15",5.78
"USGS",2256500,"2017-09-08 14:30",5.79
"USGS",2256500,"2017-09-08 14:45",5.78
"USGS",2256500,"2017-09-08 15:00",5.78
"USGS",2256500,"2017-09-08 15:15",5.8
"USGS",2256500,"2017-09-08 15:30",5.79
"USGS",2256500,"2017-09-08 15:45",5.8
"USGS",2256500,"2017-09-08 16:00",5.8
"USGS",2256500,"2017-09-08 16:15",5.8
"USGS",2256500,"2017-09-08 16:30",5.8
"USGS",2256500,"2017-09-08 16:45",5.81
"USGS",2256500,"2017-09-08 17:00",5.8
"USGS",2256500,"2017-09-08 17:15",5.81
